bescherminge        	b@sx@rmIN@          
beschryven          	b@sxriv@n           
beslaagen           	b@sla:x@n           
beslabben           	b@slAb@n            
beslikte            	b@slIkt@            
beslissen           	b@slIs@n            
besluit             	b@sl9yt             
besse               	b@s@                
best                	b@st                
bestaen             	b@sta:n             
beste               	b@st@               
besteeden           	b@st@d@n            
bestevaar           	b@st@va:r           
bestormen           	b@stOrm@n          
besukte             	b@sYkt@             
betaalen            	b@ta:l@n            
betaaling           	b@ta:lIN            
betaelen            	b@ta:l@n            
beticht             	b@tIxt              
betiên             	b@tin               
beuken              	b2:k@n               
beur                	b2:r                 
beurs               	b2:rs                
beursesnijen        	b2:rs@sni@n          
beurt               	b2:rt                
beuzelen            	b2:z@l@n             
bevat               	b@vAt               
beveelje            	b@v@lj@             
bevonden            	b@vOnd@n            
bevoorens           	b@vo:r@ns           
bevrijen            	b@vri@n             
bewaart             	b@wa:rt             
bewerken            	b@w@rk@n             
bewoogen            	b@wo:x@n            
bewys               	b@wis               
bewysen             	b@wis@n             
bewyzen             	b@wiz@n             
bezaadigd           	b@za:dIxt           
bezint              	b@zInt              
bezoeken            	b@zuk@n             
bezonder            	b@zOnd@r             
bezwaard            	b@zwa:rt            
bezwaeren           	b@zwa:r@n           
bibliotheecq        	bIblio:t@k         
bichten             	bIxt@n              
bid                 	bIt                 
bidje               	bIdj@               
bier                	bir                 
billen              	bIl@n               
billyk              	bIlik               
binje               	bInj@               
binnen              	bIn@n               
bits                	bIts                
blaauw              	blAuw               
blaân              	bla:n               
blad                	blAt                
blauwe              	blAuw@              
bleef               	bl@f                
bleek               	bl@k                
blind               	blInt               
blinden             	blInd@n             
bloed               	blut                
bloeijen            	blui@n              
bloemen             	blum@n              
bloemfestoen        	blumf@stun          
bloempje            	blumpj@             
bloempjes           	blumpj@s            
bloesem             	blus@m              
blom                	blOm                
bloodshoofds        	blo:dsho:fds        
bloosje             	blo:sj@             
bly                 	bli                 
blyf                	blif                
blyft               	blift               
blyk                	blik                
blyken              	blik@n              
blykt               	blikt               
blyspeelen          	blisp@l@n           
blyspel             	blisp@l             
blyspellen          	blisp@l@n           
blyven              	bliv@n              
blyvende            	bliv@nd@            
blyyen              	bli@n               
boek                	buk                 
boekje              	bukj@               
boel                	bul                 
boenen              	bun@n               
boer                	bur                 
boere               	bur@                
boeren              	bur@n               
boerin              	burIn               
boertjes            	burtj@s             
boete               	but@                
boeten              	but@n               
boevenstukken       	buv@nstYkk@n        
boksen              	bOks@n              
bolle               	bOl@                
bondel              	bOnd@l              
bondig              	bOndIg              
bondige             	bOndIg@             
bonk                	bOnk                
boode               	bo:d@               
boomen              	bo:m@n              
booter              	bo:t@               
bord                	bOrt               
borst               	bOrst              
bouwen              	bAuw@n              
boven               	bo:v@n               
bovengemelde        	bo:v@nx@m@ld@          
bovenste            	bo:v@nst@            
braaf               	bra:f               
braajen             	bra:i@n             
braef               	bra:f               
brande              	brAnd@              
breed               	br@t                
breede              	br@d@               
breek               	br@k                
breeken             	br@k@n              
breekspul           	br@kspYl            
breekt              	br@kt               
brengen             	br@N@n               
brengt              	br@t                
breuk               	br@k                
briefjes            	brifj@s             
brieven             	briv@n              
brocht              	brOxt               
broek               	bruk                
brokken             	brOkk@n             
brood               	bro:t               
brugman             	brYxmAn             
bruid               	br9yt               
bruigom             	br9yxOm             
bruijen             	br9y@n             
bruiloft            	br9ylOft            
bruiloften          	br9ylOft@n          
bruiloftsfeest      	br9ylOftsf@st       
bruy                	br9y                
buigen              	b9yx@n              
buiksloot           	b9ykslo:t           
buiten              	b9yt@n              
bukken              	bYkk@n              
bullepees           	bYl@p@s             
bundel              	bYnd@l              
bunschoten          	bYnsxOt@n           
burgemiesters       	bYrx@mist@rs        
burger              	bYrx@r              
buur                	byr               
buuren              	byr@n              
buurman             	byrmAn             
by                  	bi                  
byget               	bix@t               
byltje              	biltj@              
bysonder            	bisOnd@r             
bysondere           	bisOnd@r@            
byster              	bist@r               
byten               	bit@n               
bytje               	bitj@               
byzondere           	bizOnd@r@            
byzonderlyk         	bizOnd@rlIk          
byzyn               	bizin               
cabas               	ka:bAs                
calangie            	ka:lANi               
carel               	ka:r@l                
carels              	ka:r@ls               
cas                 	kAs                  
casus               	ka:sYs                
cat                 	kAt                  
catje               	kAtj@                
cees                	k@s                 
centrom             	k@ntrOm             
cesserende          	s@s@r@nd@            
claar               	kla:r               
claartje            	kla:rtj@            
cobus               	ko:bYs               
coert               	kurt                
collationeeren      	kOlAtio:n@r@n       
commediant          	kOm@diAnt          
communi             	kOmyni              
comparatie          	kOmpA:ra:ti          
compleet            	kOmpl@t             
concludeer          	kOnklyd@r           
conclusy            	kOnklysi            
condemneeren        	kOnd@mn@r@n         
confrater           	kOnfra:t@r            
confrere            	kOnfr@r@             
