V/C/P;letter;default/rules;number;description;rule;replaced;replaceby
V;a;default;0.0;no rule found;['a'];a;A
V;a;rules;1.0;last letter;['a',0];a;a:
V;a;rules;14.0;followed by a (aa);['a','V=a'];aa;a:
V;a;rules;9.0;followed by ai (aai);['a','V=a','V=i'];aai;a:i
V;a;rules;8.0;followed by aie (aaie);['a','V=a','V=i','V=e'];aaie;a:i@
V;a;rules;11.0;followed by aj (aaj);['a','C=a','C=j'];aaj;a:i
V;a;rules;10.0;followed by aje (aaje);['a','V=a','C=j','V=e'];aaje;a:i@
V;a;rules;7.0;followed by aij (aaij);['a','V=a','V=i','C=j'];aaij;a:i
V;a;rules;6.0;followed by aije (aaije);['a','V=a','V=i', 'C=j', 'V=e'];aaije;a:i@
V;a;rules;13.0;followed by ay (aay);['a','V=a','V=y'];aay;a:i
V;a;rules;12.0;followed by aye (aaye);['a','V=a','V=y','V=e'];aaye;a:i@
V;a;rules;5.0;followed by au (aau);['a','V=a','V=u'];aau;a:w
V;a;rules;4.0;followed by aue (aaue);['a','V=a','V=u','V=e'];aaue;a:w@
V;a;rules;3.0;followed by auw (aauw);['a','V=a','V=u','C=w'];aauw;a:w
V;a;rules;2.0;followed by auwe (aauwe);['a','V=a','V=u','C=w','V=e'];aauwe;a:w@
V;a;rules;22.0;followed by e (ae);['a','V=e'];ae;a:
V;a;rules;18.0;followed by ei (aei);['a','V=e','V=i'];aei;a:i
V;a;rules;17.0;followed by eie (aeie);['a','V=e','V=i','V=e'];aeie;a:i@
V;a;rules;16.0;followed by eij (aeij);['a','V=e','V=i','C=j'];aeij;a:i
V;a;rules;15.0;followed by eije (aeije);['a','V=e','V=i','C=j','V=e'];aeije;a:i@
V;a;rules;20.0;followed by ey (aey);['a','V=e','V=y'];aey;a:i
V;a;rules;19.0;followed by eye (aeye);['a','V=e','V=y','V=e'];aeye;a:i@
V;a;rules;21.0;followed by eu (aeu);['a','V=e','V=u'];aeu;a:w
V;a;rules;32.0;followed by i (ai);['a','V=i'];ai;Ai
V;a;rules;30.0;followed by ao + by 2 consonants;['a','V=o','C=1','C=1'];ao;a:O:
V;a;rules;31.0;followed by o (ao);['a','V=o'];ao;a:o:
V;a;rules;25.0;followed by u (au);['a','V=u'];au;Au
V;a;rules;24.0;followed by uw (auw);['a','V=u','C=w'];auw;Auw
V;a;rules;23.0;followed by uwe (auwe);['a','V=u','C=w','V=e'];auwe;Auw@
V;a;rules;27.0;followed by y (ay);['a','V=y'];ay;Ai
V;a;rules;26.0;followed by ye (aye);['a','V=y','V=e'];aye;Ai@
V;a;rules;29.0;followed by j (aj);['a','V=y'];aj;Ai
V;a;rules;28.0;followed by je (aje);['a','V=y','V=e'];aje;Ai@
V;a;rules;33.0;followed by ng (ang);['a','C=n','C=g'];ang;AN
V;a;rules;34.0;followed by ch (ach);['a','C=c','C=h'];ach;Ax
V;a;rules;35.0;followed by r (ar);['a','C=r'];ar;A*r
V;a;rules;36.0;followed by 2 consonants;['a','C=1','C=1'];a;A
V;o;default;0.0;no rule found;['o'];o;O
V;o;rules;1.0;last letter;['o',0];o;o:
V;o;rules;26.0;followed by a (oa);['o','V=a'];oa;o:a:
V;o;rules;25.0;followed by a + 2 consonants (oa..);['o','V=a','C=1','C=1'];oa;oA
V;o;rules;17.0;followed by e (oe);['o','V=e'];oe;u
V;o;rules;16.0;followed by ei (oei);['o','V=e','V=i'];oei;ui
V;o;rules;15.0;followed by eie (oeie);['o','V=e','V=i','V=e'];oeie;ui@
V;o;rules;12.0;followed by eij (oeij);['o','V=e','V=i','C=j'];oeij;ui
V;o;rules;11.0;followed by eije (oeije);['o','V=e','V=i','C=j','V=e'];oeije;ui@
V;o;rules;14.0;followed by ey (oey);['o','V=e','V=y'];oey;ui
V;o;rules;13.0;followed by eye (oeye);['o','V=e','V=y','V=e'];oeye;ui@
V;o;rules;18.0;followed by i (oi);['o','V=i'];oi;Oi
V;o;rules;10.0;followed by o (oo);['o','V=o'];oo;o:
V;o;rules;9.0;followed by oi (ooi);['o','V=o','V=i'];ooi;o:i
V;o;rules;8.0;followed by oie (ooie);['o','V=o','V=i','V=e'];ooie;o:i@
V;o;rules;5.0;followed by oij (ooij);['o','V=o','V=i','C=j'];ooij;o:i
V;o;rules;4.0;followed by oije (ooije);['o','V=o','V=i','V=e'];ooije;o:i@
V;o;rules;7.0;followed by oy (ooy);['o','V=o','V=y'];ooy;o:i
V;o;rules;6.0;followed by oye (ooye);['o','V=o','V=y','V=e'];ooye;o:i@
V;o;rules;3.0;followed by uw (ouw);['o','V=u','C=w'];ouw;Auw
V;o;rules;2.0;followed by uwe (ouwe);['o','V=u','C=w','V=e'];ouwe;Auw@
V;o;rules;22.0;followed by u (ou), ;['o','V=u'];ou;Au
V;o;rules;21.0;followed by y (oy);['o','V=y',0];oy;Oi
V;o;rules;19.0;followed by ye (oye);['o','V=y','V=e'];oye;o:i@
V;o;rules;20.0;followed by oy + any vowel;['o','V=y','V=1'];oy;o:i
V;o;rules;24.0;followed by j (oj);['o','C=j'];oj;Oi
V;o;rules;23.0;followed by je (oje);['o','C=j','V=e'];oje;o:i@
V;o;rules;27.0;followed by ng (ong);['o','C=n','C=g'];ong;ON
V;o;rules;28.0;followed by ch (och);['o','C=c','C=h'];och;Ox
V;o;rules;29.0;followed by r (or);['o','C=r'];or;O*r
V;o;rules;30.0;followed by 2 consonants;['o','C=1','C=1'];o;O
V;i;default;0.0;no rule found;['i'];i;I
V;i;rules;1.0;last letter;['i',0];i;i
V;i;rules;2.0;followed by a (ia);['i','V=a'];ia;ia:
V;i;rules;3.0;followed by a + consonant (ia.);['i','V=a','C=1'];ia;iA
V;i;rules;11.0;followed by au (iau);['i','V=a','V=u'];iau;iAu
V;i;rules;12.0;followed by auw (iauw);['i','V=a','V=u','C=w'];iauw;iAuw
V;i;rules;13.0;followed by e (ie);['i','V=e'];ie;i
V;i;rules;14.0;followed by eu (ieu);['i','V=e','V=u'];ieu;i2:
V;i;rules;16.0;followed by i (ii);['i','V=i'];ii;i
V;i;rules;17.0;followed by o (io);['i','V=o'];io;io:
V;i;rules;18.0;followed by ou (iou);['i','V=o','V=u'];iou;iu
V;i;rules;20.0;followed by u (iu);['i','V=u'];iu;iu
V;i;rules;22.0;followed by j (ij);['i','C=j'];ij;i
V;i;rules;23.0;followed by je (ije);['i','C=j','V=e'];ije;i@
V;i;rules;24.0;followed by ng (ing);['i','C=n','C=g'];ing;IN
V;i;rules;25.0;followed by ch (ich);['i','C=c','C=h'];ich;Ix
V;i;rules;26.0;followed by r (ir);['i','C=r'];ir;I*r
V;i;rules;31.0;followed by sch, einde woord (isch);['i','C=s','C=c','C=h',0];isch;is
V;i;rules;32.0;followed by sche, einde woord (ische);['i','C=s','C=c','C=h','V=e',0];ische;is@
V;i;rules;33.0;followed by scher, einde woord (ischer);['i','C=s','C=c','C=h','V=e','C=r',0];ischer;is@r
V;i;rules;34.0;followed by schere, einde woord (ischere);['i','C=s','C=c','C=h','V=e','C=r','V=e',0];ischere;is@re@
V;i;rules;35.0;followed by g, einde woord (ig);['i','C=g',0];ig;Ig
V;i;rules;36.0;followed by ge, einde woord (ige);['i','C=g','V=e',0];ige;Ig@
V;i;rules;37.0;followed by ger, einde woord (iger);['i','C=g','V=e','C=r',0];iger;Ig@r
V;i;rules;38.0;followed by gere, einde woord (igere);['i','C=g','V=e','C=r','V=e',0];igere;Ig@r@
V;i;rules;39.0;followed by igs, einde woord (igs);['i','C=g','C=s',0];igs;Igs
