dander              	dAnd@r              	dAnd@               
dandere             	dAnd@r@             	dAnd@@              
darde               	dArd@               	dA*rd@              
darme               	dArm@               	dA*rm@              
darrem              	dArr@m              	dA*rr@m             
dartele             	dArt@l@             	dA*rt@l@            
dato                	da:to:              	dAto:               
davecaet            	dAv@ka:t            	dAv@k@t             
defloratie          	d@flo:rAti          	d@flO*rAti          
defloravit          	d@flo:ra:vIt        	d@flO*rAvIt         
deisch              	dEis                	d@s                 
deischer            	dEis@r              	d@sx@r              
denegatie           	d@n@xa:ti           	d@n@xAti            
der                 	d@r                 	d@                  
derde               	d@rd@               	d@d@                
deugd               	d2:xt               	d@xt                
deugden             	d2:xd@n             	d@xd@n              
deugdzaem           	d2:xdza:m           	d@xdza:m            
deun                	d2:n                	d@n                 
deur                	d2:r                	d@r                 
deurtrapt           	d2:rtrApt           	d@rtrApt            
dezer               	d@z@r               	d@z@                
dicam               	dikam               	dIkm                
didrik              	didrIk              	dIdrIk              
dienstbereiden      	dinstb@rEid@n       	dinstb@@d@n         
dieper              	dip@r               	dip@                
diminueeren         	diminy@r@n          	dImIny@@n           
dirk                	dIrk                	dI*rk               
discoreeren         	dIskOr@r@n          	dIskO*r@r@n         
discurreeren        	dIskyr@r@n          	dIskr@r@n           
dochter             	dOxt@r              	dOxt@               
dochters            	dOxt@rs             	dOxt@s              
donker              	dOnk@r              	dOnk@               
donnosle            	dOno:sl@            	dOnOsl@             
dorp                	dOrp                	dO*rp               
dreigt              	drEixt              	dr@xt               
droefheid           	drufhEit            	drufh@t             
drooger             	dro:x@r             	dro:x@              
drooghals           	dro:ghAls           	dro:gAls            
drygt               	drixt               	drIxt               
ducatons            	dykatOns            	dYktOns             
duiker              	d9yk@r              	d9yk@               
dupliceerende       	duplIs@r@nd@        	dYplIk@r@nd@        
duplycq             	dYplik              	dYplIkk             
durf                	dYrf                	dA*rf               
durven              	dYrv@n              	dA*rv@n             
dwars               	dwArs               	dwA*rs              
echt                	@xt                 	@t                  
echter              	@xt@r               	@t@                 
eener               	@n@r                	@n@                 
eerder              	@rd@r               	@rd@                
ei                  	Ei                  	@                   
eigen               	Eix@n               	@x@n                
einde               	Eind@               	@nd@                
eindelyk            	Eind@lIk            	@nd@lIk             
eindigt             	EindIxt             	@ndIxt              
eisch               	Eis                 	@s                  
eischer             	Eisx@r              	@sx@r               
eitje               	Eitj@               	@tj@                
elders              	@ld@rs              	@ld@s               
elucidatie          	@lysida:ti          	@lYsdAti            
eluijert            	@l9y@rt             	@l9yj@t             
encarel             	@nka:r@l            	@nkr@l              
encourageeren       	@nkurAZ@r@n         	@nkAurAx@r@n        
engelgraaff         	@N@lxra:f           	@@lxra:f            
er                  	@r                  	@                   
erfg                	@rfx                	@fx                 
etcaetera           	@ts@t@ra:           	@tk@t@a:            
excelent            	@ks@l@nt            	@k@l@nt             
exceptie            	@ks@pti             	@k@pti              
exemplaer           	@ks@mpla:r          	@@mpla:r            
exemplaren          	@ks@mplA*r@n        	@@mplA*r@n          
exhibeeren          	@kshib@r@n          	@hIb@r@n            
expensis            	@ksp@nsIs           	@p@nsIs             
expiratie           	@kspira:ti          	@pI*rAti            
expireren           	@kspir@r@n          	@pI*r@@n            
expres              	@kspr@s             	@pr@s               
expresselijk        	@kspr@s@lIk         	@pr@s@lIk           
extensie            	@kst@nsi            	@t@nsi              
ey                  	Ei                  	@                   
eygenaars           	Eix@na:rs           	@x@na:rs            
eynde               	Eind@               	@nd@                
fiat                	fiAt                	fia:t               
floreen             	flo:r@n             	flO*r@n             
fobert              	fOb@rt              	fOb@t               
foberts             	fOb@rts             	fOb@ts              
fondament           	fOnda:m@nt          	fOndAm@nt           
forma               	fOrma:              	fO*rma:             
formeel             	fOrm@l              	fO*rm@l             
frivol              	frivOl              	frIvOl              
